Iteration,Best_Length,Current_Length,Tabu_Size
225,9505.430209701713,9505.430209701713,19
226,9486.98042182928,9486.98042182928,19
227,9477.683969261274,9477.683969261274,19
228,9456.915306717961,9456.915306717961,19
229,9432.576988924804,9432.576988924804,19
230,9420.11529186919,9420.11529186919,19
231,9405.513150035265,9405.513150035265,19
232,9390.21927613155,9390.21927613155,19
233,9368.77026480541,9368.77026480541,19
234,9349.950915554587,9349.950915554587,19
235,9324.845774679876,9324.845774679876,19
236,9308.305311461736,9308.305311461736,19
237,9292.179860445029,9292.179860445029,19
238,9279.679865831706,9279.679865831706,19
239,9265.6784378019,9265.6784378019,19
240,9255.281293185117,9255.281293185117,19
241,9237.899163563376,9237.899163563376,19
242,9223.44968608967,9223.44968608967,19
243,9212.882722645169,9212.882722645169,19
244,9199.501823204797,9199.501823204797,19
245,9188.099971094276,9188.099971094276,19
246,9168.043996765005,9168.043996765005,19
247,9140.289352581107,9140.289352581107,19
248,9120.514948943624,9120.514948943624,19
249,9095.405909241666,9095.405909241666,19
250,9082.959952710335,9082.959952710335,19
251,9060.492661917693,9060.492661917693,19
252,9031.441310998844,9031.441310998844,19
253,9020.293461112646,9020.293461112646,19
254,9006.360729668375,9006.360729668375,19
255,8996.940163371119,8996.940163371119,19
256,8989.782760695987,8989.782760695987,19
257,8978.22663508224,8978.22663508224,19
258,8957.9485513404,8957.9485513404,19
259,8943.25842451339,8943.25842451339,19
260,8936.950337771139,8936.950337771139,19
261,8913.79015710615,8913.79015710615,19
262,8905.995162144836,8905.995162144836,19
263,8898.19080357604,8898.19080357604,19
264,8889.15337702676,8889.15337702676,19
265,8874.548422455693,8874.548422455693,19
266,8865.889997274497,8865.889997274497,19
267,8854.251700815872,8854.251700815872,19
268,8837.970316007822,8837.970316007822,19
269,8824.351880733397,8824.351880733397,19
270,8801.154666273622,8801.154666273622,19
271,8787.679423290323,8787.679423290323,19
272,8777.16132371411,8777.16132371411,19
273,8766.702073628468,8766.702073628468,19
274,8753.704620849765,8753.704620849765,19
275,8720.451102809866,8720.451102809866,19
276,8706.656636035157,8706.656636035157,19
277,8692.34132058435,8692.34132058435,19
278,8680.959196101961,8680.959196101961,19
279,8670.873058183324,8670.873058183324,19
280,8661.394086809067,8661.394086809067,19
281,8649.587250869661,8649.587250869661,19
282,8637.319060981024,8637.319060981024,19
283,8626.45972460603,8626.45972460603,19
284,8617.320796350621,8617.320796350621,19
285,8610.00626250896,8610.00626250896,19
286,8604.324074568734,8604.324074568734,19
287,8595.753903037188,8595.753903037188,19
288,8592.294138333325,8592.294138333325,19
289,8578.121840102673,8578.121840102673,19
290,8565.433200263633,8565.433200263633,19
291,8561.344861885644,8561.344861885644,19
292,8551.157317296063,8551.157317296063,19
293,8537.57818803832,8537.57818803832,19
294,8529.038571424615,8529.038571424615,19
295,8515.056438507057,8515.056438507057,19
296,8508.084381463947,8508.084381463947,19
297,8501.706234536694,8501.706234536694,19
298,8490.47729711825,8490.47729711825,19
299,8477.940952350653,8477.940952350653,19
300,8467.693466806426,8467.693466806426,19
301,8465.570782654837,8465.570782654837,19
302,8458.105640850135,8458.105640850135,19
303,8437.998879008892,8437.998879008892,19
304,8425.448887861241,8425.448887861241,19
305,8415.865258676684,8415.865258676684,19
306,8404.116000426986,8404.116000426986,19
307,8391.535982082689,8391.535982082689,19
308,8379.196390851375,8379.196390851375,19
309,8357.852490336649,8357.852490336649,19
310,8338.59634620028,8338.59634620028,19
311,8326.862149631392,8326.862149631392,19
312,8317.877277054615,8317.877277054615,19
313,8310.474876816186,8310.474876816186,19
314,8298.774124398353,8298.774124398353,19
315,8290.669708404295,8290.669708404295,19
316,8278.366867247127,8278.366867247127,19
317,8263.451874104983,8263.451874104983,19
318,8252.465360513566,8252.465360513566,19
319,8242.327496821927,8242.327496821927,19
320,8235.195047768975,8235.195047768975,19
321,8226.615005012221,8226.615005012221,19
322,8219.888845643407,8219.888845643407,19
323,8207.268217245506,8207.268217245506,19
324,8196.073487717751,8196.073487717751,19
325,8186.772103074823,8186.772103074823,19
326,8172.276764163045,8172.276764163045,19
327,8164.33268618675,8164.33268618675,19
328,8153.939343582454,8153.939343582454,19
329,8146.324395037749,8146.324395037749,19
330,8137.9334038364395,8137.9334038364395,19
331,8119.121102566679,8119.121102566679,19
332,8103.002283912814,8103.002283912814,19
333,8100.250433188852,8100.250433188852,19
334,8076.466479002695,8076.466479002695,19
335,8057.24368212846,8057.24368212846,19
336,8046.663621793936,8046.663621793936,19
337,8042.568717839334,8042.568717839334,19
338,8027.503131924756,8027.503131924756,19
339,8015.199782175707,8015.199782175707,19
340,8009.289125484529,8009.289125484529,19
341,8000.0325605241815,8000.0325605241815,19
342,7998.287923410089,7998.287923410089,19
343,7991.91182055756,7991.91182055756,19
344,7980.652430495741,7980.652430495741,19
345,7977.968160544649,7977.968160544649,19
346,7973.761754563991,7973.761754563991,19
347,7968.7431673491665,7968.7431673491665,19
348,7963.001145664199,7963.001145664199,19
349,7954.994485933673,7954.994485933673,19
350,7948.413334112206,7948.413334112206,19
351,7937.052285253628,7937.052285253628,19
352,7933.358194869983,7933.358194869983,19
353,7926.127783367671,7926.127783367671,19
354,7923.489470701014,7923.489470701014,19
355,7904.533993547479,7904.533993547479,19
356,7872.967244423154,7872.967244423154,19
357,7867.1250280238355,7867.1250280238355,19
358,7865.067331380372,7865.067331380372,19
359,7861.586942787656,7861.586942787656,19
360,7857.048920479151,7857.048920479151,19
361,7846.077496488929,7846.077496488929,19
362,7841.199901020761,7841.199901020761,19
363,7834.530427077633,7834.530427077633,19
364,7828.134075495939,7828.134075495939,19
365,7826.270503558209,7826.270503558209,19
366,7820.091516440563,7820.091516440563,19
367,7814.444656116628,7814.444656116628,19
368,7811.436507112627,7811.436507112627,19
369,7808.237764400434,7808.237764400434,19
370,7804.84365005512,7804.84365005512,19
371,7799.5479683643425,7799.5479683643425,19
372,7788.428115893291,7788.428115893291,19
373,7781.726165217062,7781.726165217062,19
374,7775.523041352484,7775.523041352484,19
375,7768.629003090058,7768.629003090058,19
376,7763.599992804069,7763.599992804069,19
377,7762.559694133298,7762.559694133298,19
378,7759.501491848212,7759.501491848212,19
379,7753.59865956131,7753.59865956131,19
380,7748.602548659245,7748.602548659245,19
381,7743.76926460011,7743.76926460011,19
382,7741.014725893666,7741.014725893666,19
383,7735.547594803461,7735.547594803461,19
384,7728.840455449196,7728.840455449196,19
385,7718.834192988776,7718.834192988776,19
386,7716.257992320965,7716.257992320965,19
387,7711.8100931541685,7711.8100931541685,19
388,7705.446178565133,7705.446178565133,19
389,7700.553452078717,7700.553452078717,19
390,7697.445399233391,7697.445399233391,19
391,7694.124493074116,7694.124493074116,19
392,7690.094854682874,7690.094854682874,19
393,7679.956571636279,7679.956571636279,19
394,7671.9472833199625,7671.9472833199625,19
395,7667.634115549809,7667.634115549809,19
396,7653.102748139674,7653.102748139674,19
397,7650.6725263748085,7650.6725263748085,19
398,7640.475520974647,7640.475520974647,19
399,7635.9913055867155,7635.9913055867155,19
400,7629.59763194336,7629.59763194336,19
401,7625.595995428876,7625.595995428876,19
402,7623.721259163275,7623.721259163275,19
403,7612.574236170625,7612.574236170625,19
404,7604.338659967641,7604.338659967641,19
405,7594.017426954368,7594.017426954368,19
406,7591.82441282636,7591.82441282636,19
407,7583.325643942284,7583.325643942284,19
408,7572.361288428951,7572.361288428951,19
409,7571.269064775033,7571.269064775033,19
410,7566.899687211862,7566.899687211862,19
411,7565.178080442012,7565.178080442012,19
412,7552.614417092837,7552.614417092837,19
413,7547.861491912189,7547.861491912189,19
414,7545.302971781079,7545.302971781079,19
415,7541.696164317417,7541.696164317417,19
416,7538.916421625086,7538.916421625086,19
417,7534.044431747766,7534.044431747766,19
418,7529.462476744912,7529.462476744912,19
419,7513.257602141367,7513.257602141367,19
420,7511.786548094432,7511.786548094432,19
421,7508.074822087779,7508.074822087779,19
422,7506.801981100333,7506.801981100333,19
423,7501.861048941521,7501.861048941521,19
424,7494.519262419718,7494.519262419718,19
425,7489.091787246299,7489.091787246299,19
426,7488.77098134743,7488.77098134743,19
427,7478.900820965857,7478.900820965857,19
428,7473.024675351018,7473.024675351018,19
429,7470.084434749021,7470.084434749021,19
430,7466.542608050308,7466.542608050308,19
431,7458.546489550486,7458.546489550486,19
432,7455.335793609754,7455.335793609754,19
433,7452.61028146893,7452.61028146893,19
434,7447.765532891003,7447.765532891003,19
435,7443.009852150552,7443.009852150552,19
436,7438.211734503789,7438.211734503789,19
437,7438.211734503789,7438.338261155631,19
438,7429.764784022979,7429.764784022979,19
439,7417.988287206853,7417.988287206853,19
440,7414.9157175614355,7414.9157175614355,19
441,7411.325869999764,7411.325869999764,19
442,7409.36094151627,7409.36094151627,19
443,7389.9284321222385,7389.9284321222385,19
444,7385.549437711003,7385.549437711003,19
445,7380.886500950568,7380.886500950568,19
446,7379.5855190081475,7379.5855190081475,19
447,7374.391599518573,7374.391599518573,19
448,7371.242977824164,7371.242977824164,19
449,7365.723353736509,7365.723353736509,19
450,7360.526607386252,7360.526607386252,19
451,7356.490750611211,7356.490750611211,19
452,7354.757414347917,7354.757414347917,19
453,7353.207794954759,7353.207794954759,19
454,7347.806153216271,7347.806153216271,19
455,7346.994153917806,7346.994153917806,19
456,7343.82475454709,7343.82475454709,19
457,7343.738794799438,7343.738794799438,19
458,7336.3013417958455,7336.3013417958455,19
459,7326.108108786764,7326.108108786764,19
460,7325.170226969667,7325.170226969667,19
461,7318.154702701594,7318.154702701594,19
462,7316.017781453037,7316.017781453037,19
463,7308.581605772911,7308.581605772911,19
464,7303.273744139969,7303.273744139969,19
465,7300.561255971373,7300.561255971373,19
466,7276.230125395629,7276.230125395629,19
467,7273.531907494477,7273.531907494477,19
468,7269.933554796794,7269.933554796794,19
469,7264.194875133361,7264.194875133361,19
470,7260.799020405709,7260.799020405709,19
471,7254.354998897562,7254.354998897562,19
472,7250.454310431833,7250.454310431833,19
473,7248.670302834007,7248.670302834007,19
474,7244.642488413205,7244.642488413205,19
475,7237.090783118879,7237.090783118879,19
476,7230.398612748914,7230.398612748914,19
477,7227.406314696403,7227.406314696403,19
478,7223.406216927816,7223.406216927816,19
479,7219.761665738161,7219.761665738161,19
480,7215.6519657193885,7215.6519657193885,19
481,7211.36427671472,7211.36427671472,19
482,7211.36427671472,7212.352008810308,19
483,7208.32881255516,7208.32881255516,19
484,7196.142143244521,7196.142143244521,19
485,7192.976503292935,7192.976503292935,19
486,7185.508642797472,7185.508642797472,19
487,7180.527176284918,7180.527176284918,19
488,7178.628400667171,7178.628400667171,19
489,7175.558735240499,7175.558735240499,19
490,7167.59462404094,7167.59462404094,19
491,7165.259039012328,7165.259039012328,19
492,7162.565673305542,7162.565673305542,19
493,7159.1885916207775,7159.1885916207775,19
494,7156.479036363233,7156.479036363233,19
495,7149.278732261424,7149.278732261424,19
496,7145.990362411147,7145.990362411147,19
497,7142.256569168783,7142.256569168783,19
498,7138.331415153134,7138.331415153134,19
499,7133.737511248673,7133.737511248673,19
